FID	OBJECTID	SYSTEMSTOP	STREET	CROSS_ST	DIR	POS	ROUTESSTPG	OWLROUTES	CITY	STATUS	PUBLIC_NAM	POINT_X	POINT_Y
4943	4757	2686	79TH STREET	HAMLIN (east leg)	WB	NT	79	 	CHICAGO	1	79th Street & Hamlin	-87.71688531	41.74969316
4944	4758	7418	35TH STREET	ROCKWELL	WB	NT	35	 	CHICAGO	1	35th Street & Rockwell	-87.68990491	41.83024707
4945	4759	5694	IRVING PARK	2700 WEST	WB	MB	80	 	CHICAGO	1	2700 W Irving Park	-87.69619166	41.95409136
4946	4760	4688	63RD STREET	75TH AVENUE	WB	NS	"62H,63W"	 	SUMMIT	1	63rd Street & 75th Avenue	-87.80810831	41.77720393
4947	4761	12419	119TH STREET	PRINCETON	WB	NS	119	 	CHICAGO	1	119th Street & Princeton	-87.6297301	41.67800596
4948	4762	3229	63RD STREET	RED LINE STATION	WB	MB	63	N63	CHICAGO	1	63rd Red Line Station	-87.63089987	41.78000777
4949	4763	4545	55TH STREET	LONG	WB	NS	"55A,55N"	 	CHICAGO	1	55th Street & Long	-87.75727063	41.79291489
4950	4764	7416	35TH STREET	ARTESIAN	WB	MT	35	 	CHICAGO	1	35th Street & Artesian	-87.686305	41.830307
4951	4765	4131	ARMITAGE	KOLMAR	WB	NS	73	 	CHICAGO	1	Armitage & Kolmar	-87.73985809	41.91706417
4952	4766	7796	PERSHING	SPAULDING	WB	NS	39	 	CHICAGO	1	Pershing & Spaulding	-87.70676068	41.82259743
4953	4767	12550	ADDISON	PINE GROVE	WB	NS	152	 	CHICAGO	1	Addison & Pine Grove	-87.6454874	41.94799725
4954	4768	15753	55TH STREET	UNIVERSITY	WB	FS	55	N55	CHICAGO	1	55th Street & University	-87.59834724	41.79513865
4955	4769	15182	36TH STREET	ALBANY	WB	FT	35	 	CHICAGO	1	36th Street & Albany	-87.70220509	41.82817873
4956	4770	448	WASHINGTON	STATE	EB	FS	"J14,19,20,56,60,124,151,157"	"N20,N60"	CHICAGO	1	Washington & State	-87.62749695	41.88316957
4957	4771	449	WASHINGTON	WABASH (nearside GARLAND)	EB	FS	"N4,J14,19,20,56,60,N66,124,147,151,157"	"N4,N20,N60,N66"	CHICAGO	6	Washington & Wabash	-87.625966	41.883159
4958	4772	446	WASHINGTON	LASALLE	EB	NS	"J14,19,20,56,60,124,157"	"N20,N60"	CHICAGO	1	Washington & Lasalle	-87.632625	41.883137
4959	4773	445	WASHINGTON	FRANKLIN	EB	NS	"J14,19,20,56,60,124,157"	"N20,N60"	CHICAGO	1	Washington & Franklin	-87.635516	41.883128
4960	4774	6912	CERMAK	KARLOV	EB	MT	21	 	CHICAGO	1	Cermak & Karlov	-87.72717774	41.85135019
4961	4775	6911	CERMAK	KEELER	EB	NS	21	 	CHICAGO	1	Cermak & Keeler	-87.72974362	41.85132736
4962	4776	6665	CERMAK	PULASKI	EB	NS	21	 	CHICAGO	1	Cermak & Pulaski	-87.72490565	41.85140167
4963	4777	6910	CERMAK	KOLIN	EB	NS	21	 	CHICAGO	1	Cermak & Kolin	-87.73243775	41.85128087
4964	4778	6579	CANAL	betw.RANDOLPH & WASHINGTO	SB	MB	120	 	CHICAGO	1	Canal & Randolph/Washington	-87.639864	41.883542
4965	4779	1998	DIVISION	KEDZIE	EB	NS	65	 	CHICAGO	5	Division & Kedzie	-87.70692	41.90277
4966	4780	2077	DIVISION	HOMAN	WB	NS	70	 	CHICAGO	1	Division & Homan	-87.71159335	41.90284678
4967	4781	8716	DAMEN	73RD STREET	NB	NS	"48,94"	 	CHICAGO	1	Damen & 73rd Street	-87.673365	41.761074
4968	4782	17454	47TH STREET	KILDARE (east leg)	EB	FS	47	 	CHICAGO	1	47th Street & Kildare	-87.73071684	41.80772073
4969	4783	3153	KEDZIE	ARTHINGTON	NB	NS	52	 	CHICAGO	1	Kedzie & Arthington	-87.705716	41.869963
4970	4784	2468	COTTAGE GROVE	89TH STREET	NB	NS	4	 	CHICAGO	1	Cottage Grove & 89th Street	-87.60460098	41.73293698
4971	4785	8003	43RD STREET	KING DRIVE	WB	FS	43	 	CHICAGO	1	43rd Street & King Drive	-87.61716933	41.81669384
4972	4786	17458	PULASKI	ARMITAGE	SB	FS	53	N53	CHICAGO	1	Pulaski & Armitage	-87.72663417	41.91698865
4973	4787	6341	RACINE	14TH STREET	NB	FS	60	N60	CHICAGO	1	Racine & 14th Street	-87.65651301	41.86366413
4974	4788	15919	S. SHORE DRIVE	5454 SOUTH (Shoreland Dorm)	SB	MB	171	 	CHICAGO	1	Shoreland Dorm	-87.58100725	41.79643496
4975	4789	17563	55TH STREET	KENWOOD	EB	FS	"55,171"	N55	CHICAGO	1	55th Street & Kenwood	-87.59301755	41.79503478
4976	4790	1525	E HYDE PARK	LAKE PARK	WB	FS	"2,15,172"	 	CHICAGO	1	E Hyde Park & Lake Park	-87.588262	41.802527
4977	4791	10569	55TH STREET	DORCHESTER	WB	NS	"55,171"	N55	CHICAGO	1	55th Street & Dorchester	-87.59160089	41.79556508
4978	4792	10567	55TH STREET	LAKE PARK	WB	FS	"55,171"	N55	CHICAGO	1	55th Street & Lake Park	-87.58805466	41.79528829
4979	4793	1554	INDIANA	40TH GREEN LINE STATION	NB	NS	39	 	CHICAGO	1	Indiana Green Line Station	-87.62143777	41.82194376
4980	4794	15142	WESTERN	57TH STREET	NB	FS	49	N49	CHICAGO	1	Western & 57th Street	-87.68382017	41.79030954
